log_V_x_heights,V_x_edg_square,log_V_y_heights,V_y_edg_square,log_V_z_heights,V_z_edg_square
-7.090076835776092,24.931067547841995,-7.783224016336037,24.931067547841995,-7.783224016336037,24.931067547841995
-inf,24.533766055399585,-inf,24.533766055399585,-inf,24.533766055399585
-inf,24.139655739603302,-inf,24.139655739603302,-inf,24.139655739603302
-inf,23.74873660045314,-inf,23.74873660045314,-inf,23.74873660045314
-inf,23.3610086379491,-7.783224016336037,23.3610086379491,-inf,23.3610086379491
-inf,22.976471852091187,-inf,22.976471852091187,-inf,22.976471852091187
-7.783224016336037,22.595126242879395,-inf,22.595126242879395,-inf,22.595126242879395
-inf,22.21697181031373,-inf,22.21697181031373,-inf,22.21697181031373
-inf,21.842008554394187,-inf,21.842008554394187,-inf,21.842008554394187
-inf,21.470236475120757,-inf,21.470236475120757,-7.783224016336037,21.470236475120757
-inf,21.101655572493463,-inf,21.101655572493463,-inf,21.101655572493463
-inf,20.736265846512293,-inf,20.736265846512293,-inf,20.736265846512293
-inf,20.374067297177245,-inf,20.374067297177245,-inf,20.374067297177245
-inf,20.01505992448832,-inf,20.01505992448832,-inf,20.01505992448832
-inf,19.659243728445517,-inf,19.659243728445517,-inf,19.659243728445517
-inf,19.30661870904884,-inf,19.30661870904884,-inf,19.30661870904884
-inf,18.957184866298288,-inf,18.957184866298288,-inf,18.957184866298288
-inf,18.61094220019386,-inf,18.61094220019386,-inf,18.61094220019386
-inf,18.267890710735553,-inf,18.267890710735553,-inf,18.267890710735553
-inf,17.928030397923372,-inf,17.928030397923372,-inf,17.928030397923372
-inf,17.591361261757314,-inf,17.591361261757314,-inf,17.591361261757314
-inf,17.25788330223738,-inf,17.25788330223738,-inf,17.25788330223738
-inf,16.927596519363572,-inf,16.927596519363572,-inf,16.927596519363572
-inf,16.600500913135875,-inf,16.600500913135875,-inf,16.600500913135875
-inf,16.276596483554314,-inf,16.276596483554314,-inf,16.276596483554314
-inf,15.955883230618879,-inf,15.955883230618879,-inf,15.955883230618879
-inf,15.638361154329564,-inf,15.638361154329564,-inf,15.638361154329564
-inf,15.324030254686368,-inf,15.324030254686368,-inf,15.324030254686368
-inf,15.012890531689301,-inf,15.012890531689301,-inf,15.012890531689301
-inf,14.704941985338357,-inf,14.704941985338357,-inf,14.704941985338357
-inf,14.400184615633536,-inf,14.400184615633536,-inf,14.400184615633536
-inf,14.098618422574841,-inf,14.098618422574841,-inf,14.098618422574841
-inf,13.800243406162268,-inf,13.800243406162268,-inf,13.800243406162268
-inf,13.505059566395818,-inf,13.505059566395818,-inf,13.505059566395818
-inf,13.213066903275493,-inf,13.213066903275493,-inf,13.213066903275493
-inf,12.924265416801292,-inf,12.924265416801292,-inf,12.924265416801292
-inf,12.638655106973214,-inf,12.638655106973214,-inf,12.638655106973214
-inf,12.35623597379126,-inf,12.35623597379126,-inf,12.35623597379126
-inf,12.077008017255428,-inf,12.077008017255428,-inf,12.077008017255428
-inf,11.800971237365722,-inf,11.800971237365722,-inf,11.800971237365722
-7.783224016336037,11.528125634122139,-inf,11.528125634122139,-inf,11.528125634122139
-inf,11.25847120752468,-7.783224016336037,11.25847120752468,-7.783224016336037,11.25847120752468
-7.783224016336037,10.992007957573346,-inf,10.992007957573346,-inf,10.992007957573346
-inf,10.728735884268131,-inf,10.728735884268131,-inf,10.728735884268131
-inf,10.468654987609044,-inf,10.468654987609044,-7.783224016336037,10.468654987609044
-7.783224016336037,10.21176526759608,-inf,10.21176526759608,-inf,10.21176526759608
-inf,9.95806672422924,-inf,9.95806672422924,-inf,9.95806672422924
-inf,9.707559357508526,-inf,9.707559357508526,-inf,9.707559357508526
-inf,9.460243167433934,-inf,9.460243167433934,-inf,9.460243167433934
-inf,9.216118154005464,-7.783224016336037,9.216118154005464,-inf,9.216118154005464
-inf,8.97518431722312,-inf,8.97518431722312,-inf,8.97518431722312
-7.783224016336037,8.7374416570869,-7.783224016336037,8.7374416570869,-inf,8.7374416570869
-inf,8.502890173596802,-inf,8.502890173596802,-inf,8.502890173596802
-inf,8.271529866752825,-inf,8.271529866752825,-inf,8.271529866752825
-inf,8.043360736554977,-inf,8.043360736554977,-inf,8.043360736554977
-inf,7.81838278300325,-inf,7.81838278300325,-inf,7.81838278300325
-inf,7.596596006097648,-inf,7.596596006097648,-2.995732273553991,7.596596006097648
-inf,7.378000405838169,-inf,7.378000405838169,-inf,7.378000405838169
-inf,7.162595982224815,-inf,7.162595982224815,-inf,7.162595982224815
-inf,6.950382735257584,-inf,6.950382735257584,-inf,6.950382735257584
-inf,6.741360664936475,-inf,6.741360664936475,-inf,6.741360664936475
-7.783224016336037,6.5355297712614915,-inf,6.5355297712614915,-2.995732273553991,6.5355297712614915
-inf,6.3328900542326325,-inf,6.3328900542326325,-7.783224016336037,6.3328900542326325
-inf,6.133441513849896,-inf,6.133441513849896,-inf,6.133441513849896
-inf,5.937184150113285,-inf,5.937184150113285,-inf,5.937184150113285
-inf,5.744117963022797,-inf,5.744117963022797,-inf,5.744117963022797
-inf,5.5542429525784325,-inf,5.5542429525784325,-inf,5.5542429525784325
-inf,5.367559118780192,-7.783224016336037,5.367559118780192,-inf,5.367559118780192
-inf,5.184066461628075,-7.783224016336037,5.184066461628075,-inf,5.184066461628075
-inf,5.00376498112208,-7.783224016336037,5.00376498112208,-inf,5.00376498112208
-2.3025850929940455,4.82665467726221,-inf,4.82665467726221,-inf,4.82665467726221
-inf,4.652735550048465,-2.995732273553991,4.652735550048465,-inf,4.652735550048465
-inf,4.482007599480843,-inf,4.482007599480843,-inf,4.482007599480843
-2.9874334707392958,4.314470825559345,-2.995732273553991,4.314470825559345,-inf,4.314470825559345
-inf,4.150125228283971,-inf,4.150125228283971,-inf,4.150125228283971
-inf,3.9889708076547206,-inf,3.9889708076547206,-inf,3.9889708076547206
-inf,3.831007563671592,-inf,3.831007563671592,-inf,3.831007563671592
-7.783224016336037,3.676235496334589,-inf,3.676235496334589,-inf,3.676235496334589
-inf,3.5246546056437102,-inf,3.5246546056437102,-2.995732273553991,3.5246546056437102
-inf,3.3762648915989546,-inf,3.3762648915989546,-inf,3.3762648915989546
-inf,3.231066354200323,-inf,3.231066354200323,-2.995732273553991,3.231066354200323
-inf,3.089058993447815,-inf,3.089058993447815,-inf,3.089058993447815
-inf,2.950242809341431,-inf,2.950242809341431,-inf,2.950242809341431
-7.783224016336037,2.814617801881171,-inf,2.814617801881171,-inf,2.814617801881171
-inf,2.6821839710670345,-inf,2.6821839710670345,-inf,2.6821839710670345
-inf,2.55294131689902,-inf,2.55294131689902,-inf,2.55294131689902
-inf,2.4268898393771314,-inf,2.4268898393771314,-inf,2.4268898393771314
-inf,2.304029538501366,-inf,2.304029538501366,-inf,2.304029538501366
-inf,2.184360414271725,-inf,2.184360414271725,-inf,2.184360414271725
-inf,2.067882466688207,-inf,2.067882466688207,-inf,2.067882466688207
-inf,1.954595695750813,-5.585999438999818,1.954595695750813,-2.995732273553991,1.954595695750813
-inf,1.844500101459543,-3.0736938150237028,1.844500101459543,-inf,1.844500101459543
-2.995732273553991,1.7375956838143956,-inf,1.7375956838143956,-inf,1.7375956838143956
-2.995732273553991,1.6338824428153729,-inf,1.6338824428153729,-inf,1.6338824428153729
-inf,1.533360378462474,-inf,1.533360378462474,-7.783224016336037,1.533360378462474
-2.995732273553991,1.4360294907556992,-2.3025850929940455,1.4360294907556992,-inf,1.4360294907556992
-inf,1.341889779695048,-inf,1.341889779695048,-inf,1.341889779695048
-2.995732273553991,1.2509412452805204,-7.783224016336037,1.2509412452805204,-inf,1.2509412452805204
